"Sidell Stadium", 2.05, 15.8, 2.05, 17.3, 3.75, 17.3, 3.75, 15.8 
"Clark Center", 3.9, 15.3, 3.9, 15.85, 4.3, 15.85, 4.3, 16.1, 5.2, 16.1, 5.2, 15.3
"Clark Athelic Field", 3.9, 16.3, 3.9, 17.3, 6.25, 17.3, 6.25, 16.3
"Tennis Courts", 5.3, 15.3, 5.3, 15.9, 7.98, 15.9, 7.98, 15.3
"Softball Field", 6.5, 16.3, 6.5, 17.3, 7.98, 17.3, 7.98, 16.3
"Haas Athletic Center", 8.19, 2.55, 8.19, 3.11, 8.78, 3.11, 8.78, 3.0, 8.92, 3.0, 8.92, 3.52, 9.8, 3.52, 9.8, 2.91, 10.4, 2.91, 10.4, 2.1, 8.92, 2.1, 8.92, 2.65, 8.78, 2.65, 8.78, 2.55 
"The Dimple", 7.05, 7.9, 7.05, 11.0, 7.95, 11.0, 7.95, 7.9
"Chapel Field", 9.35,  8.9, 9.35, 10.7, 10.25,  10.7 ,10.25, 10.3, 9.8, 10.0, 9.6, 9.5, 9.8, 8.9  
"Keefe Athletic Field", 14.0, 6.0, 14.8, 7.5, 15.8, 7.0, 15.0, 5.5 
"Mirrione Stadium", 12.3, 3.7, 13.4, 4.7, 14.6, 3.2, 13.6, 2.2
"Nordin Field", 10.9, 2.0, 12.4, 1.7, 11.9, 0.0, 10.4, 0.0 
