"Public Safety",  3, 2.4, 3, 2.6, 2.8, 2.6, 2.8, 3, 3.3, 3, 3.3, 2.4
"26/28 Tauton Ave",  3, 3.3, 3,3.6, 3.3,3.6, 3.3, 3.3
"The Lyons Den",  3, 4.05, 3, 4.35, 3.3, 4.35, 3.3, 4.05
"44 Howard st",  3.5, 4.9, 3.5, 5.2, 3.8, 5.2, 3.8, 4.9
"Norton Medical Center",  2.8, 6.3, 2.8, 7.05, 3.3, 7.05, 3.3, 6.3
"9 Tauton Ave", 1.7, 8.55, 1.7, 8.95, 2.1, 8.95, 2.1, 8.55
"Old Town Hall Book Store", 2.9, 8.55,  2.9, 8.95, 3.3, 8.95, 3.3, 8.55
"11 Howard", 3.6, 9.3, 3.6, 9.6, 4.0, 9.6, 4.0, 9.3
"Ten Library Square", 3.5, 13.31, 3.5, 13.78, 3.9, 13.78, 3.9, 13.5, 3.69, 13.5, 3.69, 13.31 
"Guest House", 3.9, 13.98, 3.9, 14.48, 4.2, 14.48, 4.2, 13.98
"Elisabeth W. Amen  Nursery School", 4.55, 13.3, 4.55, 13.71, 4.93, 13.71, 4.55 13.3 
"Marshall Center for Intercutural Learning", 4.3, 12.15, 4.3, 12.55, 4.7, 12.55, 4.7, 12.15
"The Sem", 4.33, 11.55, 4.33, 11.85, 4.73, 11.85, 4.73, 11.55
"Kilham Hall", 5.4, 11.8, 5.4, 12.6, 5.8, 12.6, 5.8, 11.8
"Hebe Hall", 5.8, 12.25, 5.8, 12.6, 6.45, 12.6, 6.45, 12.25
"Metcafe Hall", 6.45, 11.85, 6.45, 12.6, 6.8, 12.6, 6.8, 11.85
"Center for Global Ed.", 4.33, 10.95, 4.33, 11.35, 4.73, 11.35, 4.73, 10.95
"Chapin Hall", 5.8, 11.05, 5.8, 11.35, 6.3, 11.35, 6.3, 11.05
"Old Observatory", 9.33, 15.85, 9.33, 16.23, 9.61, 16.23, 9.61, 15.85
"Emerson Hall", 5.45, 9.78, 5.45, 10.4, 5.6, 10.4, 5.6, 10.5, 6.21, 10.5, 6.21, 10.4, 6.35, 10.4, 6.35, 9.78
"Davis international House", 4.3, 9.8, 4.3,	10.05, 4.4,	10.05, 4.4,	10.2, 4.55,	10.2, 4.55,	10.05, 4.7, 10.05, 4.7, 9.8, 4.63, 9.8, 4.63, 9.6, 4.5, 9.6, 4.5, 9.8
"White House", 4.4, 8.1, 4.4, 8.5, 4.78, 8.5, 4.78, 8.1
"Brooks Campbell House", 4.4, 7.13, 4.4, 7.53, 4.8, 7.53, 4.8, 7.13
"Everett Heights", 5.45, 9.78, 5.8, 9.78, 5.8, 8.78, 5.45, 8.78
"Everett Hall", 5.45, 8.78, 5.8, 8.78, 5.8, 8.3, 6.39, 8.3, 6.39, 8.0, 5.45, 8.0
"22 Howard", 5.5, 7.2, 5.5, 7.5, 5.81, 7.5, 5.81, 7.2
"Keefe Hall", 5.41, 6.0, 5.41, 6.7, 5.9, 6.7, 5.9, 6.0
"Gebbie Hall", 5.91, 6.79, 5.91, 7.2, 6.6, 7.2, 6.6, 6.79  
"Counseling Center", 4.1, 5.0, 4.1, 5.28, 4.31, 5.28, 4.31, 5.0
"Beard Hall", 4.65, 4.7, 4.65, 5.11, 5.7, 5.11, 5.7, 4.7
"Ron's House", 7.6, 13.35, 7.6, 13.8, 8.6, 13.8, 8.6, 13.35
"Oldfield House", 12.2, 13.23, 12.2, 13.59, 12.41, 13.59, 12.41, 13.75, 12.5, 13.75, 12.5, 13.35, 12.31, 13.23
"Park Hall", 6.9, 11.4, 6.9, 12.0, 7.3, 12.0, 7.3, 11.4 
"Larcom Hall", 6.39, 10.55, 6.39, 10.95, 6.79, 10.95, 6.79, 10.55
"Emerson Dining", 6.3, 9.2, 6.3, 10.4, 6.78, 10.4, 6.78, 9.2
"Cragin Hall", 6.51, 8.6, 6.51, 9.05, 6.81, 9.05, 6.81, 8.6 
"Staton Hall", 6.33, 7.69, 6.33, 8.3, 6.61, 8.3, 6.61, 7.69
"Kollett Hall", 6.5, 4.8, 6.5, 6.28, 7.01, 6.28, 7.01, 4.8
"Science Center", 7.0, 4.2, 7.0, 5.6, 7.25, 5.6, 7.25, 5.7, 7.71, 5.7, 7.71, 3.9, 7.48, 3.9, 7.48, 4.2
"Mars Science Center", 7.6, 5.7, 7.72, 5.8, 7.78, 6.01, 7.72, 5.8, 7.6, 6.3, 7.25, 6.3, 7.25, 6.36, 7.12, 6.36, 7.12, 6.61, 7.99, 6.61, 9.7, 6.52, 9.76, 6.2, 9.39, 6.21, 7.71, 5.55
